,count,mean,std,min,25%,50%,75%,max
Transaction ID,29593.0,55085058361774.74,25908282304929.895,10006600000000.0,32704700000000.0,55202300000000.0,77404700000000.0,99995500000000.0
ItemsPurchased_sum,29593.0,2.0292974689960466,2.069190430267829,1.0,1.0,1.0,2.0,45.0
FinalQuantity_sum,29593.0,2.02693204474031,2.0688632529759245,0.0,1.0,1.0,2.0,45.0
UniqueItems_n,29593.0,1.8809177846112257,1.657052096407503,1.0,1.0,1.0,2.0,25.0
UniqueCategories_n,29593.0,1.5446220389957084,0.9856246860816424,1.0,1.0,1.0,2.0,11.0
TotalRevenue_sum,29593.0,146.23303923225086,142.19637861317682,24.16,74.17,82.5,158.35000000000002,3005.0
PriceReductions_sum,29593.0,-11.716616091643292,17.426866649586575,-422.0,-20.84,-4.08,0.0,0.0
SalesTax_sum,29593.0,26.367995809819888,26.753903398463585,0.0,12.67,16.5,30.67,583.22
Category_freq_mean,29593.0,0.1918149554172344,0.11081443595429591,0.001820142914925172,0.09916408251314547,0.22586625320210327,0.33148510179317786,0.33148510179317786
Version_freq_mean,29593.0,0.03189791016034835,0.023669772198460847,1.6853175138196036e-05,0.01161183767021707,0.028427093164352164,0.050053930160442225,0.0820244033976001
ItemCodePrefix_freq_mean,29593.0,0.005392725517805784,0.002549615963472217,0.0008426587569098018,0.0036234326547121476,0.004988539840906027,0.00658959147903465,0.014426317918295807
DiscountRatio,29593.0,-0.08490958054473799,0.10247493555112108,-1.0,-0.19384243326202213,-0.01267179725124398,0.0,0.0
TaxRatio,29593.0,0.17955965801157933,0.030789337739188963,0.0,0.16003775111230956,0.19177163300290673,0.19996873045653532,0.20033112582781457
UnitPrice,29593.0,74.20536983305692,14.865960539388642,0.0,74.16,76.67,79.17,313.17
Year,29593.0,2018.5514817693374,0.49735096872462947,2018.0,2018.0,2019.0,2019.0,2019.0
Month,29593.0,6.384347649782043,4.622409293296731,1.0,2.0,4.0,11.0,12.0
DayOfWeek,29593.0,3.0605548609468456,2.0255989279226214,0.0,1.0,3.0,5.0,6.0
IsWeekend,29593.0,0.2864866691447302,0.45212715603774956,0.0,0.0,0.0,1.0,1.0
Quarter,29593.0,2.4263846179839827,1.443257188276749,1.0,1.0,2.0,4.0,4.0
Returned,29593.0,0.21484810597100665,0.41072387050753256,0.0,0.0,0.0,0.0,1.0
